number,title,short_desc,Desc1,Desc2,hours,website,astc_travel_passport_participant,icon_color,long,lat,image_url,thumb_url,is_video,city,state,zip,address
1,American Museum of Natural History,"The American Museum of Natural History is one of the largest museums in the world, with more than 32 million specimens including a 94 foot long blue whale, the largest meteorite on display in any museum worldwide, and a 563 carat star sapphire. ","The American Museum of Natural History is one of the largest museums in the world.  The museum complex consists of 45 permanent exhibition halls, as well as a planetarium and library.  The museum holds more than 32 million specimens of human, animal, plant, fossil, mineral, rock, meteorite, and human cultural artifacts.  ","Must See: Scales of the Universe exhibit,  Hayden Planetarium, 94 foot long blue whale, giant sequoia, Barosaurus  and other dinosaur skeletons, 563 carat Star of India, Ahnighito meteorite (largest on display in any museum worldwide), and butterfly conservatory. (seasonal).",Open daily. 10 AM-5:45 PM,http://www.amnh.org/,No,R,-73.971719,40.782032,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/11094445_932211323475908_199504105_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/11094445_932211323475908_199504105_n.jpg,,New York,NY,10024,Central Park W & 79th St
2,BNL Science Learning Center,""" The Science Learning Center offers programs to students in grades 1-12, featuring interactive exhibits, hands-on labs, and programs that demonstrate basic scientific principles.""  - from https://www.bnl.gov/education/",""" The Science Learning Center offers programs to students in grades 1-12, featuring interactive exhibits, hands-on labs, and programs that demonstrate basic scientific principles.""  - from https://www.bnl.gov/education/",Must See: The hands-on labs.,Hours: by reservation,http://www.bnl.gov/education/static/slc/,No,R,-72.873618,40.864576,https://www.bnl.gov/education/photos/carousel/D2040710-375px.jpg,https://www.bnl.gov/education/photos/carousel/D2040710-375px.jpg,,Upton,NY,11973,"Building 438, Brookhaven National Laboratory"
3,The Brooklyn Children's Museum,The Brooklyn Children's Museum was the first museum in the United States to cater specifically to children,"""The Brooklyn Children's Museum was the first museum in the United States to cater specifically to children.  The museum offers interactive learning adventures through hands-on exhibitions, multicultural performances, creative workshops and an extensive collection of cultural artifacts and natural science specimens.""",Must See: The Water Lab and the blue sand pit.,Open Tuesday - Sunday 10 AM - 5 PM,http://brooklynkids.wpengine.com/,Yes,R,-73.943996,40.674454,http://ontherealny.com/wp-content/uploads/2013/03/waterfun.com_.jpg,http://ontherealny.com/wp-content/uploads/2013/03/waterfun.com_.jpg,,Brooklyn ,NY,11213, 145 Brooklyn Ave
4,Buffalo Museum of Science,"The museum contains more than 700,000 specimens, most of which pertain to the Greater Niagara region, and cover areas such as anthropology, botany, entomology, mycology, paleontology, and zoology.  ","""Since 2010, the BMS has been on an aggressive path to renovate all of the museum's permanent exhibit experiences, transforming its former diorama-based exhibits into eight highly interactive and immersive science studio exhibit spaces...The museum has also added the Explorations early childhood gallery to its permanent offerings, as well as the National Geographic 3D Cinema presented by M&T Bank...A significant part of the Museum's collection of over 700,000 specimens pertain to the Greater Niagara Region and form by far the most complete record of life in all of its forms in this area in anthropology, botany, entomology, mycology, paleontology and zoology."" - from http://www.sciencebuff.org/site/aboutus",Must See: The rooftop observatory (opening in 2016) and Seymour the Mastodon and Stanley the Albertosaurus.,Open daily. 10 AM-4:00 PM,http://www.sciencebuff.org/,Yes,R,-78.843439,42.905918,http://www.sciencebuff.org/site/images/sideads/seymour-sidead.jpg,http://www.sciencebuff.org/site/images/sideads/seymour-sidead.jpg,,Buffalo,NY,14211,1020 Humboldt Pkwy
5,The Children's Museum of Science and Technology,"The Children's Museum includes interactive exhibits covering a range of areas such as construction, maker spaces, and nano-scale exploration. ","All exhibits at the Children's Museum are designed with science discovery and play in mind.  Exhibits include the Construction Junction, Maker Space, Move It / Shake It, Nature Place, and Nano Exploration.  ","Must See: The Magnetic Ball Wall, planetarium, and the Skyline Tool Box",Open Wednesday from 1 PM - 5 PM and Thursday -Sunday 10 AM - 5 PM,http://www.cmost.org/,Yes,R,-73.697878,42.677008,http://www.cmost.org/images/slides/a_young_explorer.jpg,http://www.cmost.org/images/slides/a_young_explorer.jpg,,Troy,NY,12180, 250 Jordan Rd
6,Hudson River Museum,"The museum contains an extensive collection of art works from the Hudson River school, and also features exhibits on the history, science, and heritage of the region.  Also featured are the Andrus Planetarium and the Glenview Mansion. ","Founded in 1919 as Yonkers Museum, the facility the largest museum in Westchester County.  The museum contains an extensive collection of art works from the Hudson River school, and also features exhibits on the history, science, and heritage of the region.  The museum is now home to the only public planetarium in Westchester County.  Central to its history is the Glenview Mansion, a house built in 1877, which contains six period rooms.  ",Must See: The Andrus Planetarium and the Glenview Mansion period rooms. ,Open Wednesday - Sunday 12 PM - 5 PM,,Yes,R,-73.896375,40.95412,https://s-media-cache-ak0.pinimg.com/736x/66/4c/a7/664ca7a3fa54628df324e01b3b2b5602.jpg,https://s-media-cache-ak0.pinimg.com/736x/66/4c/a7/664ca7a3fa54628df324e01b3b2b5602.jpg,,Yonkers,NY,10701,511 Warburton Ave
7,"Intrepid Sea, Air & Space Museum","The Intrepid Sea, Air & Space Museum is dedicated to the exhibition and interpretation of history, science and service related to the aircraft carrier?Intrepid.","""The Intrepid Sea, Air & Space Museum is dedicated to the exhibition and interpretation of history, science and service as related to its home aboard the aircraft carrier Intrepid, a National Historic Landmark. As you explore the Museum you will be able to examine original artifacts, view historic video footage and explore interactive exhibits."" - from http://www.intrepidmuseum.org/The-Intrepid-Experience/Exhibits.aspx","Must See: The Enterprise space shuttle, Growler (the only American guided missile submarine open to the public), and Concorde plane.","Open Monday - Friday 10 AM - 5 PM, and Saturday, Sunday, and Holidays 10 AM - 6 PM (Spring / Summer Hours); Open daily 10 AM - 5 PM (Fall/ Winter Hours)",,Yes,R,-73.99925,40.763658,http://www.perkinswill.com/sites/default/files/project-imagery/Intrepid_interio_main7.jpg,http://www.perkinswill.com/sites/default/files/project-imagery/Intrepid_interio_main7.jpg,,New York,NY,10036,Pier 86 W 46th St and 12th Ave
8,Kopernik Observatory & Science Center,The Kopernik Observatory and Science Center's mission is to offer hands-on investigations and outreach programs for educating all ages about astronomy and science,"""The Kopernik Observatory and Science Center's mission is to offer hands-on investigations and outreach programs for educating all ages about astronomy and science using advanced optical telescopes, computers and other tools. It is the first science laboratory facility in New York State designed for K-12 teachers, students and their families and has been one of the best-sited and best equipped public observatories in the Northeast United States for nearly the last 40 years."" - from http://www.kopernik.org/visitor-info/about-kopernik/",Must See: The observatory telescopes and the adults-only Moonlight Caf?,Open Fridays from 7:30 PM (March - November); only on special weekend nights once a month from 6:30 PM (December - February); Daily Free Tours on weekdays from 10 AM - 2 PM (by appointment),http://www.kopernik.org/,Yes,R,http://www.amnh.org/,42.001995,https://origin.ih.constantcontact.com/fs037/1104667042142/img/120.jpg,https://origin.ih.constantcontact.com/fs037/1104667042142/img/120.jpg,,Vestal,NY,13850,698 Underwood Rd
9,Long Island Children's Museum,"The Long Island Children?s Museum is home to 14 hands-on, interactive exhibit galleries, a 145-seat state-of-the-art theater and three classroom-size learning studios.","""The Long Island Children?s Museum today is home to 14 hands-on, interactive exhibit galleries, a 145-seat state-of-the-art theater and three classroom-size learning studios."" - from http://www.licm.org/backgrounder.php","Must See: Climb-It (two-story climbing structure), and giant bubbles exhibit; TotSpot for youngest visitors",Open daily from 10 AM - 5 PM (June 30 - August 30); Open Tuesday - Sunday from 10 AM - 5 PM (September- June),http://www.licm.org/,Yes,R,-73.600918,40.728238,http://cache.boston.com/bonzai-fba/Third_Party_Photo/2007/03/16/1174083059_1867.jpg,http://cache.boston.com/bonzai-fba/Third_Party_Photo/2007/03/16/1174083059_1867.jpg,,Garden City,NY,11530,11 Davis Avenue
10,Long Island Museum of Science and Technology,"The museum's main goal is to excite and enrich young people, many of whom will be inspired to fill the 21st Century need for a technologically skilled workforce.",""" Long Island's ""hands-on"" science and technology center is designed to expand to major proportions and world-class quality. Its main goal is to excite and enrich young people, many of whom will be inspired to fill the 21st Century need for a technologically skilled workforce."" - from http://techisland.org/museum.asp",Must See: The bed of nails. ,Hours Unknown,http://techisland.org/museum.asp,?,R,-73.124489,40.913346,http://techisland.org/images/bedofnails.jpg,http://techisland.org/images/bedofnails.jpg,,Stony Brook,NY,11794,"Stony Brook University, 127 Engineering"
